name,place,adjplace,team,time
Colin Krick,129,90,Defiance,27:57
Josse Smith,130,91,DePauw,27:59
Matt Adair,131,(> 7),Indiana_Tech,27:59
Rocco DiMatteo,132,92,Lake_Forest,28:00
Matt Rouwhorst,133,(> 7),Indiana_Tech,28:00
Philip Merrell,134,DNS,Unattached,28:01
Tyler Kennedy,135,(> 7),Ohio_Northern,28:03
Alexander Pollack,136,DNS,Unattached,28:03
Brandon George,137,93,Davenport,28:04
Ahron Gunn,138,94,Madonna,28:05
Adam Cichon,139,(> 7),Aquinas,28:06
Jesse Rudolph,140,95,Heidelberg,28:07
Cameron Rusnak,141,(> 7),Ohio_Northern,28:07
Nicholas Tarsa,142,(> 7),Aquinas,28:08
Joseph Parochetti,143,(> 7),St_Francis_Ill,28:08
Mason Przybysz,144,96,Davenport,28:09
Travis Sisovsky,145,97,Davenport,28:09
Zane Berlanga,146,98,Alma,28:09
Gabe Calvillo,147,(> 7),St_Francis_Ill,28:10
Jesus Alvarado,148,(> 7),Aquinas,28:13
Matt Molinaro,149,(> 7),Ohio_Northern,28:15
Pierce Sheehan,150,(> 7),DePauw,28:15
John Principato,151,(> 7),St_Francis_Ill,28:17
Michael Potter,152,(> 7),Ohio_Northern,28:17
Kevin Hanlon,153,(> 7),St_Francis_Ill,28:18
Eric Collins,154,(> 7),Ohio_Northern,28:18
Chirs Santillo,155,(> 7),St_Francis_Ill,28:19
Jacob Benson,156,99,Cornerstone,28:19
Phillip Scheanon,157,(> 7),Case_Western,28:19
Kyle Wagner,158,(> 7),Ohio_Northern,28:19
Dom Frey,159,100,Heidelberg,28:21
alex krasuski,160,101,Michigan-Dearborn,28:22
Daniel Sowa,161,(> 7),Ohio_Northern,28:23
Nathan Brookhouse,162,(> 7),Calvin-B,28:24
Kristian Hernandez,163,(> 7),St_Francis_Ill,28:27
CJ Copeland,164,(> 7),DePauw,28:28
Trevor Curtis,165,102,Cornerstone,28:29
Andrew Kaylor,166,103,Kalamazoo,28:29
Billy Klebenow,167,(> 7),St_Francis_Ill,28:30
Justin Davenport,168,(> 7),Adrian,28:31
Ryan Pickell,169,104,Michigan-Dearborn,28:32
Aaron Sanchez,170,(> 7),St_Francis_Ill,28:35
Tim Faiken,171,(> 7),Heidelberg,28:36
Jim Easterhouse,172,(> 7),DePauw,28:36
Ian McKee,173,(> 7),Ohio_Northern,28:37
Collin Wiersema,174,(> 7),Bethel_Ind,28:37
Nathan Schneider,175,(> 7),Adrian,28:39
Jorge Pichardo,176,(> 7),St_Francis_Ill,28:40
Joseph Bortolotti,177,105,Lake_Forest,28:41
Nick Knorz,178,(> 7),Case_Western,28:42
Brian Myers,179,(> 7),DePauw,28:49
De Churchya,180,(> 7),Heidelberg,28:51
Ian Trau,181,(> 7),Ohio_Northern,28:53
Brandon McNeil,182,(> 7),Heidelberg,28:53
Dan Steigerwald,183,(> 7),Ohio_Northern,28:54
Charles Clark,184,106,Alma,28:54
Luke Hawley,185,(> 7),Aquinas,28:55
Sean Humphreys,186,(> 7),Heidelberg,28:58
David Demarest,187,107,Kalamazoo,29:01
Adam Berry,188,(> 7),Ohio_Northern,29:02
Matt Frisby,189,(> 7),Indiana_Tech,29:04
Jack Harbaugh,190,(> 7),DePauw,29:06
Grant Cook,191,(> 7),Aquinas,29:06
Tristan Rudolph,192,DNS,UNA-Aquinas,29:08
Michael Murray,193,(> 7),Ohio_Northern,29:09
Joshua Marshall,194,(> 7),Bethel_Ind,29:10
Jonathan Wherry,195,(> 7),Ohio_Northern,29:13
Brett Slayton,196,108,Grand_Rapids_Community,29:14
Evan Murtha,197,(> 7),Ohio_Northern,29:15
Nick Sheridan,198,(> 7),Adrian,29:16
Diego Sanchez,199,109,Defiance,29:17
Evan Milovich,200,110,Baldwin_Wallace,29:17
Nathaniel Reed,201,(> 7),DePauw,29:17
Jimmy Birney,202,(> 7),Aquinas,29:18
Joseph Muscarella,203,(> 7),Ohio_Northern,29:18
Cory Gyulveszi,204,111,Kalamazoo,29:19
Zach Roush,205,112,Defiance,29:20
Connor Vogt,206,113,Kalamazoo,29:22
David Comiska,207,(> 7),Adrian,29:26
Max McIlroy,208,(> 7),Adrian,29:28
Nick Fox,209,114,Alma,29:28
Nathaniel Theobald,210,115,Madonna,29:29
Brian Mincks,211,(> 7),DePauw,29:33
Ethan Trombley,212,(> 7),Bethel_Ind,29:35
Andrew Senecal,213,116,Defiance,29:38
Nick Williamson,214,117,Michigan-Dearborn,29:40
Garrett Tremaine,215,118,Cornerstone,29:42
Michael Robbins,216,DNS,UNA-Aquinas,29:43
Ryan Weaver,217,119,Alma,29:44
Sam Parks,218,120,Michigan-Dearborn,29:46
Kristopher Maurer,219,121,Alma,29:51
Aaron Kimbrell,220,(> 7),Indiana_Tech,29:56
Kyle Sousley,221,DNS,UNA-Aquinas,29:57
Quinn Osgood,222,122,Michigan-Dearborn,30:02
Ben Booher,223,(> 7),DePauw,30:07
Aaron Ellis,224,(> 7),Adrian,30:08
Rechy Rodriguez,225,123,Grand_Rapids_Community,30:10
Jacob Rindler,226,124,Defiance,30:10
Seth Globke,227,125,Madonna,30:10
Stephen Fenech,228,DNS,Unattached,30:11
Zeke Dassay,229,(> 7),Adrian,30:12
Alex Fuhrmann,230,126,Baldwin_Wallace,30:16
Brad Bannister,231,(> 7),Heidelberg,30:20
Jaymes Cole,232,127,Defiance,30:20
Tanner Droste,233,128,Davenport,30:22
Matthew Boelens,234,(> 7),Calvin-B,30:24
Brian Larabel,235,(> 7),Indiana_Tech,30:31
Lex Hollenbeck,236,129,Alma,30:33
Aaron Long,237,130,Baldwin_Wallace,30:35
Justin Swords,238,131,Baldwin_Wallace,30:36
Nathan Barchalk,239,(> 7),Ohio_Northern,30:36
Eric Cichon,240,DNS,UNA-Aquinas,30:39
Dylan Tanner,241,(> 7),Baldwin_Wallace,30:40
Jacob Massengale,242,(> 7),Bethel_Ind,30:42
Christopher Navetta,243,(> 7),Bethel_Ind,30:42
Leland Nelson,244,(> 7),DePauw,30:49
Nathan Vanderwall,245,(> 7),Cornerstone,30:58
Calvin Scott,246,(> 7),Alma,31:00
Aaron Hellman,247,(> 7),Heidelberg,31:01
Carlos Menjivar,248,132,Grand_Rapids_Community,31:05
Tyler Fisk,249,DNS,Una_-_GRCC,31:06
Jack Evans,250,(> 7),DePauw,31:07
Tanner Bednar,251,133,Lake_Forest,31:10
Robert Schultz,252,(> 7),Adrian,31:15
Marshall Morehead,253,(> 7),Calvin-B,31:17
Bryan Giczewski,254,134,Madonna,31:17
Brad Burch,255,(> 7),DePauw,31:20
Adnan Meskic,256,135,Lake_Forest,31:23
Alec Da Silveira,257,(> 7),DePauw,31:25
Justin Jewell,258,(> 7),Davenport,31:27
Kyle McLouth,259,(> 7),Adrian,31:31
Jamey Paron,260,(> 7),Alma,31:32
Travis Jordan,261,(> 7),Bethel_Ind,31:38
Paul Tshele,262,136,Kalamazoo,31:49
Jacob Troy,263,137,Lake_Forest,31:49
Garry Armstrong,264,(> 7),Heidelberg,31:49
Elijah Potter,265,138,Grand_Rapids_Community,31:52
Dustin Lumadue,266,(> 7),Ohio_Northern,32:05
Erick Roth,267,139,Madonna,32:07
Giancarlo Hernandez,268,140,Grand_Rapids_Community,32:08
Campbell Mike,269,(< 5),Glen_Oaks_CC,32:11
Jason Young,270,(> 7),Baldwin_Wallace,32:23
Austin Rosenwinkel,271,(> 7),Lake_Forest,32:28
Clementz Matt,272,(< 5),Glen_Oaks_CC,32:32
Alec Lunney,273,(> 7),Ohio_Northern,32:35
Caleb Mounts,274,141,Grand_Rapids_Community,32:35
Harrison Lange,275,(> 7),Adrian,32:37
Jarquell Mitchel,276,142,Grand_Rapids_Community,32:45
Tommy Martin,277,143,Madonna,32:47
Tate Stoll,278,(> 7),Baldwin_Wallace,32:49
James Dillinger,279,(> 7),Indiana_Tech,32:53
Greg Krasnoschlik,280,(> 7),Ohio_Northern,32:57
Nick Kiessel,281,(> 7),Alma,33:14
Rob DeSantis,282,(> 7),Adrian,33:17
Tristen Epling,283,(> 7),Adrian,33:19
Seth Duncan,284,(> 7),Baldwin_Wallace,33:31
Kevin Kruizenga,285,(< 5),Kuyper,33:47
Grant Schlinz,286,(< 5),Kuyper,34:52
Paul Jones,287,(> 7),Lake_Forest,35:35
Patrick Hilton,288,(> 7),Lake_Forest,38:01
Trenton Loomis,289,(< 5),Grace_Bible_MI,38:22
Tyson DeWald,290,(> 7),Grand_Rapids_Community,38:39
Nicolas Brown,291,(< 5),Grace_Bible_MI,39:41
