   81     63    201  Matt Plantinga        Calvin-B                                27:16.3  3:25/K    SO
   82  (> 7)    547  Tom Gerberich         Ohio Northern                           27:17.7  3:25/K    SR
   83     64    125  Brady Jeffers         Baldwin Wallace                         27:18.5  3:25/K    FR
   84     65    485  Jonathan Stern        Lake Forest                             27:18.7  3:25/K    FR
   85     66    269  Dustin Brummel        Davenport                               27:20.1  3:25/K    JR
   86     67    227  Bryan Kelly           Case Western                            27:21.9  3:25/K    SO
   87     68    256  Jared Holmberg        Cornerstone                             27:22.7  3:25/K    SR
   88  (> 7)    204  Jonathan Schaap       Calvin                                  27:23.4  3:25/K    SO
   89  (> 7)    570  Ryan Valentine        Ohio Northern                           27:24.7  3:26/K    SR
   90     69    194  Jordan Kramer         Calvin-B                                27:25.5  3:26/K    SO
   91     70    414  Evan Harney           Indiana Tech                            27:26.5  3:26/K    FR
   92  (> 7)    231  Austin Olshavsky      Case Western                            27:26.7  3:26/K    JR
   93     71     25  Daniel Malcolm        Adrian                                  27:27.0  3:26/K    SO
   94     72    417  Nate Kimble           Indiana Tech                            27:27.8  3:26/K    SO
   95  (> 7)     90  Geoff Albaugh         Aquinas                                 27:28.4  3:26/K    SR
   96  (> 7)    410  Cody Dyer             Indiana Tech                            27:28.8  3:26/K    SO
   97     73    386  Zach Flint            Heidelberg                              27:29.0  3:26/K    JR
   98     74    260  Kevin Vroegh          Cornerstone                             27:30.1  3:26/K    FR
   99     75    205  Mason Swartz          Calvin-B                                27:32.4  3:27/K    SO
  100  (> 7)    225  Aidan DeSanto         Case Western                            27:34.6  3:27/K    FR
  101     76    396  Cameron Weaks         Heidelberg                              27:35.1  3:27/K    FR
  102     77    390  Nick Jones            Heidelberg                              27:35.3  3:27/K    FR
  103  (> 7)    422  John Wamhoff          Indiana Tech                            27:36.0  3:27/K    FR
  104     78    331  Chris Lowry           DePauw                                  27:36.1  3:27/K    FR
  105     79     26  Andrew Mangiapane     Adrian                                  27:36.8  3:27/K    SR
  106  (> 7)    625  Frank Pasqua          St. Francis (Ill.)                      27:37.8  3:27/K    SO
  107  (> 7)    226  Gilad Doron           Case Western                            27:38.8  3:27/K    JR
  108  (> 7)    630  Anthony Santillo      St. Francis (Ill.)                      27:39.1  3:27/K    SO
  109     80    253  Brent Dunn            Cornerstone                             27:39.6  3:27/K    FR
  110  (> 7)    104  Stephen Pfahler       Aquinas                                 27:40.5  3:28/K    FR
  111  (> 7)    546  Matthew Ernstes       Ohio Northern                           27:42.2  3:28/K    JR
